#step	0 forward (2)	0 forward (3)	pi/4 central (2)	pi/4 forward (2)	pi/4 backward (2)	pi/4 forward (3)	pi/4 backward (3)	pi/2 backward (2)	pi/2 backward (3)
                  -1	  -2.778368400209113	  -2.478642344218184	  -2.928883398041019	  -1.437661825137362	   -1.46663518625177	  -2.663080311739449	  -2.597693211330917	  -1.301391937896357	  -3.602783875792835	
  -1.301029995663981	  -3.380265528683445	  -3.079561319824174	  -3.530780526515301	  -1.745486291083849	  -1.759965321269011	  -3.246683339012945	  -3.214081013789702	  -1.602150471230073	  -4.505330938152921	
  -1.602059991327962	  -3.982284804752267	  -3.681336243423762	  -4.132799802597444	  -2.050023405400309	   -2.05726196513454	   -3.84007252251804	  -3.823782703474835	  -1.903112606614077	  -5.408285204832748	
  -1.903089986991944	  -4.584334617293155	   -4.28332497944282	  -4.734849615030567	  -2.352834825121445	  -2.356453985598984	  -4.437930811388092	  -4.429787317630622	  -2.204125637539645	  -6.311341275948588	
  -2.204119982655925	  -5.186392063924711	  -4.885367157668455	    -5.3369070613407	  -2.654762549693633	  -2.656572115010844	  -5.037922713639074	  -5.033851140675466	  -2.505151392038403	   -7.21442269983158	
  -2.505149978319906	  -5.788451419073495	  -5.487422695768802	  -5.938966418809125	  -2.956243170463533	  -2.957147951251973	  -5.638956773281414	  -5.636921000840704	  -2.806180327410305	  -8.117510667523991	
  -2.806179973983887	  -6.390511251467899	  -6.089481573730341	  -6.541026247626875	  -3.257498919613472	  -3.257951309778098	  -6.240505915292427	  -6.239487781761289	  -3.107210057997366	  -9.020592589611015	
  -3.107209969647868	  -6.992571203336504	  -6.691541286828234	  -7.143085749790667	  -3.558641902231848	   -3.55886809751906	  -6.842311635565173	  -6.841801550117948	  -3.408239987342799	  -9.923100737255915	
   -3.40823996531185	  -7.594631183762782	  -7.293601210850142	  -7.745145929477772	  -3.859728418607532	  -3.859841516195717	  -7.444248568314784	  -7.443986017586132	  -3.709269966259333	  -10.83034826058143	
  -3.709269960975831	   -8.19669117698669	   -7.89566117373893	  -8.347242712063103	  -4.160786683387171	  -4.160843227390055	  -8.046228371258826	  -8.046063645408456	  -4.010299958763542	  -11.94431320551465	
  -4.010299956639812	  -8.798751183482212	  -8.497721187818231	  -8.949271395364471	  -4.461830806192829	   -4.46185908023196	  -8.648633669156892	  -8.647864872022314	   -4.31132995189987	  -16.21301914394243	
  -4.311329952303793	  -9.400811083804824	  -9.099781209481316	  -9.551425821738322	  -4.762867835981147	   -4.76288196992586	  -9.253292375301143	  -9.248016463858878	  -4.612359957676102	  -16.21301914394243	
  -4.612359947967774	  -10.00287107513279	  -9.701841079468805	  -10.14429473442532	  -5.063901175111959	  -5.063908393236262	  -9.883950960291816	  -9.847710057747342	  -4.913389872447527	  -16.21301914394243	
  -4.913389943631755	  -10.60493155182285	  -10.30390155615886	  -10.89916174246702	   -5.36493305294336	  -5.364935591500169	  -10.48331713329506	   -10.2207932551591	  -5.214419706326441	  -16.21301914394243	
  -5.214419939295737	  -11.20699154315081	  -10.90596154748683	  -11.45362641955294	    -5.6659617793345	  -5.665963195618585	  -10.66336970662558	  -10.37720483372988	  -5.515450349144123	  -16.21301914394243	
  -5.515449934959718	  -11.80905153447877	  -11.50802153881479	  -10.89916174246702	   -5.96698557569859	  -5.966995729840235	  -10.30986273167534	  -11.25365253115856	  -5.816480344816818	  -16.21301914394243	
  -5.816479930623699	   -12.4111425901093	  -12.10998835056466	  -11.25365253115856	  -6.268003173028258	  -6.267994195423944	  -10.17273893302933	  -9.820748557592905	  -6.117499986224455	  -16.21301914394243	
   -6.11750992628768	   -13.0130783375566	  -12.71204834189262	  -10.10603919959824	  -6.568979090581353	  -6.568726958490209	  -9.854049331975297	  -9.230879096861011	  -6.418612823026446	  -16.21301914394243	
  -6.418539921951662	  -13.61414565535089	  -13.31510328092242	  -11.25365253115856	  -6.869549801496542	   -6.86951393461291	  -9.365541734754681	  -11.25365253115856	  -6.719808548387059	  -16.21301914394243	
  -6.719569917615643	  -14.21422708069676	  -13.92116601470405	  -9.544451714982223	   -7.16686955261418	  -7.170525997945811	  -8.838747264137705	  -11.25365253115856	  -7.020176004806237	  -16.21301914394243	
  -7.020599913279624	  -14.80846173451276	  -14.50743173884878	  -9.239200468435614	  -7.456937950369832	  -7.471520131168794	  -8.634001248436865	  -11.25365253115856	  -7.321206000748793	  -16.21301914394243	
  -7.321629908943605	  -15.35252977886304	  -15.17643851980736	  -11.25365253115856	  -7.729999911174498	   -7.72973987626055	  -8.457562582785901	  -8.331410106915785	  -7.632959862389553	  -16.21301914394243	
  -7.622659904607587	    -15.954589770191	  -15.65355977452702	  -8.631920965209872	  -8.031159982704979	  -7.854635288849664	  -8.634001248436865	  -7.854635288849664	  -7.854808612767346	  -16.21301914394243	
  -7.923689900271567	                -inf	  -15.65355977452702	  -8.332450247037695	  -7.854982002076317	  -8.331410106915785	  -7.633063887667583	  -8.332450247037695	  -8.030899872774823	  -16.21301914394243	
  -8.224719895935548	                -inf	                -inf	  -8.331410106915785	  -8.332450247037695	  -7.854635288849664	  -8.332450247037695	  -7.486757536235917	  -16.21301914394243	  -16.21301914394243	
   -8.52574989159953	                -inf	                -inf	  -7.854635288849664	  -8.332450247037695	  -7.486757536235917	  -7.633063887667583	  -6.970179418423476	  -16.21301914394243	  -16.21301914394243	
  -8.826779887263511	                -inf	                -inf	  -8.332450247037695	  -7.377745145523499	  -7.486757536235917	  -6.934010660202119	  -6.970179418423476	  -16.21301914394243	  -16.21301914394243	
