x 	 analitycal w t = 0.49999	KMB w t = 0.49999	analitycal w t = 0.99999	KMB w t = 0.99999	analitycal w t = 1.99998	KMB w t = 1.99998
1.45	0.549857	0.549858	0.482529	0.482529	0.433118	0.433118
1.455	0.553879	0.55388	0.486149	0.486149	0.436403	0.436403
1.46	0.557868	0.557869	0.489742	0.489743	0.439664	0.439664
1.465	0.561824	0.561825	0.493309	0.493309	0.442902	0.442902
1.47	0.565747	0.565748	0.49685	0.49685	0.446117	0.446117
1.475	0.569638	0.569639	0.500364	0.500364	0.44931	0.44931
1.48	0.573497	0.573498	0.503852	0.503853	0.45248	0.45248
1.485	0.577325	0.577326	0.507315	0.507315	0.455628	0.455629
1.49	0.581121	0.581121	0.510752	0.510753	0.458755	0.458755
1.495	0.584885	0.584886	0.514165	0.514165	0.461859	0.461859
1.5	0.588619	0.58862	0.517552	0.517552	0.464942	0.464943
1.505	0.592322	0.592323	0.520914	0.520915	0.468004	0.468004
1.51	0.595995	0.595996	0.524252	0.524253	0.471045	0.471045
1.515	0.599637	0.599638	0.527566	0.527567	0.474065	0.474065
1.52	0.60325	0.603251	0.530856	0.530856	0.477064	0.477064
1.525	0.606833	0.606834	0.534122	0.534122	0.480043	0.480043
1.53	0.610387	0.610388	0.537364	0.537365	0.483001	0.483001
1.535	0.613911	0.613912	0.540583	0.540584	0.485939	0.485939
1.54	0.617407	0.617408	0.543779	0.543779	0.488858	0.488858
1.545	0.620874	0.620875	0.546952	0.546952	0.491756	0.491756
1.55	0.624313	0.624313	0.550102	0.550102	0.494635	0.494635
1.555	0.627723	0.627724	0.553229	0.55323	0.497495	0.497495
1.56	0.631105	0.631106	0.556334	0.556335	0.500336	0.500336
1.565	0.63446	0.634461	0.559417	0.559418	0.503157	0.503157
1.57	0.637787	0.637788	0.562478	0.562478	0.50596	0.50596
1.575	0.641087	0.641088	0.565517	0.565518	0.508744	0.508744
1.58	0.64436	0.644361	0.568535	0.568535	0.511509	0.51151
1.585	0.647606	0.647607	0.571531	0.571531	0.514257	0.514257
1.59	0.650826	0.650827	0.574506	0.574506	0.516986	0.516986
1.595	0.654019	0.65402	0.57746	0.57746	0.519697	0.519697
1.6	0.657186	0.657187	0.580393	0.580393	0.52239	0.52239
1.605	0.660327	0.660328	0.583305	0.583305	0.525066	0.525066
1.61	0.663442	0.663443	0.586197	0.586197	0.527724	0.527724
1.615	0.666532	0.666533	0.589068	0.589069	0.530364	0.530364
1.62	0.669596	0.669598	0.59192	0.59192	0.532988	0.532988
1.625	0.672636	0.672637	0.594751	0.594751	0.535594	0.535594
1.63	0.67565	0.675651	0.597562	0.597563	0.538184	0.538184
1.635	0.67864	0.678641	0.600354	0.600355	0.540757	0.540757
1.64	0.681605	0.681606	0.603127	0.603127	0.543313	0.543313
1.645	0.684545	0.684546	0.60588	0.60588	0.545852	0.545853
1.65	0.687462	0.687463	0.608613	0.608614	0.548376	0.548376
1.655	0.690354	0.690355	0.611328	0.611329	0.550883	0.550883
