x 	 analitycal w t = 0.49996	KMB w t = 0.49996	analitycal w t = 0.99996	KMB w t = 0.99996	analitycal w t = 1.99992	KMB w t = 1.99992
3.79	-15.6536
3.8	-15.9546
3.81	-inf
3.82	-inf
3.83	-inf
3.84	-inf
3.85	-inf
3.86	-inf
3.87	-inf
3.88	-inf
3.89	-inf
3.9	-inf
3.91	-inf
3.92	-inf
3.93	-inf
3.94	-inf
3.95	-inf
3.96	-inf
3.97	-inf
3.98	-inf
3.99	-inf
4	-inf
4.01	-inf
4.02	-inf
4.03	-inf
4.04	-inf
4.05	-inf
4.06	-inf
4.07	-inf
4.08	-inf
4.09	-inf
4.1	-inf
4.11	-inf
4.12	-inf
4.13	-inf
4.14	-inf
4.15	-inf
4.16	-inf
4.17	-15.9546
4.18	-15.9546
4.19	-inf
4.2	-inf
4.21	-inf
4.22	-inf
4.23	-inf
4.24	-inf
4.25	-inf
4.26	-inf
4.27	-inf
4.28	-inf
4.29	-15.9546
4.3	-15.9546
4.31	-inf
4.32	-inf
4.33	-inf
4.34	-inf
4.35	-15.9546
4.36	-inf
4.37	-inf
4.38	-inf
4.39	-inf
4.4	-inf
4.41	-inf
4.42	-inf
4.43	-inf
4.44	-inf
4.45	-inf
4.46	-inf
4.47	-inf
4.48	-inf
4.49	-inf
4.5	-inf
4.51	-inf
4.52	-inf
4.53	-inf
4.54	-inf
4.55	-inf
4.56	-inf
4.57	-inf
4.58	-inf
4.59	-inf
4.6	-inf
4.61	-inf
4.62	-inf
4.63	-inf
4.64	-inf
4.65	-inf
4.66	-inf
4.67	-inf
4.68	-15.9546
4.69	-inf
4.7	-inf
4.71	-inf
4.72	-inf
4.73	-inf
4.74	-inf
4.75	-inf
4.76	-inf
4.77	-inf
4.78	-inf
4.79	-inf
4.8	-inf
4.81	-inf
4.82	-inf
4.83	-15.9546
4.84	-inf
4.85	-inf
4.86	-inf
4.87	-inf
4.88	-inf
4.89	-inf
4.9	-inf
4.91	-inf
4.92	-inf
4.93	-inf
4.94	-inf
4.95	-inf
4.96	-inf
4.97	-inf
4.98	-inf
4.99	-inf
5	-inf
5.01	-inf
5.02	-inf
5.03	-inf
5.04	-inf
5.05	-inf
5.06	-inf
5.07	-inf
5.08	-inf
5.09	-inf
5.1	-inf
5.11	-inf
5.12	-inf
5.13	-inf
5.14	-inf
5.15	-inf
5.16	-inf
5.17	-inf
5.18	-inf
5.19	-inf
5.2	-inf
5.21	-inf
5.22	-inf
5.23	-inf
5.24	-15.9546
5.25	-inf
5.26	-inf
5.27	-inf
5.28	-inf
5.29	-inf
5.3	-inf
5.31	-inf
5.32	-inf
5.33	-inf
5.34	-inf
5.35	-inf
5.36	-15.9546
5.37	-15.6536
5.38	-15.4775
5.39	-15.6536
5.4	-inf
5.41	-inf
5.42	-inf
5.43	-inf
5.44	-inf
5.45	-inf
5.46	-inf
5.47	-inf
5.48	-inf
5.49	-inf
5.5	-inf
5.51	-inf
5.52	-inf
5.53	-inf
5.54	-inf
5.55	-inf
5.56	-inf
5.57	-inf
5.58	-inf
5.59	-inf
5.6	-inf
5.61	-inf
5.62	-inf
5.63	-inf
5.64	-inf
5.65	-inf
5.66	-inf
5.67	-inf
5.68	-inf
5.69	-inf
5.7	-inf
5.71	-inf
5.72	-inf
5.73	-inf
5.74	-inf
5.75	-inf
5.76	-inf
5.77	-inf
5.78	-inf
5.79	-inf
5.8	-inf
5.81	-inf
5.82	-inf
5.83	-15.9546
5.84	-15.9546
5.85	-15.9546
5.86	-inf
5.87	-inf
5.88	-inf
5.89	-inf
5.9	-inf
5.91	-inf
5.92	-inf
5.93	-inf
5.94	-inf
5.95	-inf
5.96	-inf
5.97	-inf
5.98	-inf
5.99	-inf
6	-inf
6.01	-inf
6.02	-inf
6.03	-inf
6.04	-inf
6.05	-inf
6.06	-inf
6.07	-inf
6.08	-inf
6.09	-inf
6.1	-inf
6.11	-inf
6.12	-inf
6.13	-inf
6.14	-inf
6.15	-inf
6.16	-inf
6.17	-inf
6.18	-inf
6.19	-inf
6.2	-inf
6.21	-inf
6.22	-inf
6.23	-inf
6.24	-inf
6.25	-inf
6.26	-inf
6.27	-inf
6.28	-inf
6.29	-inf
6.3	-inf
6.31	-inf
6.32	-inf
6.33	-inf
6.34	-inf
6.35	-inf
6.36	-inf
6.37	-15.9546
6.38	-inf
6.39	-inf
6.4	-inf
6.41	-inf
6.42	-inf
6.43	-inf
6.44	-15.9546
6.45	-inf
6.46	-inf
6.47	-inf
6.48	-inf
6.49	-inf
