t 	 error 
0.0294	-3.17051
0.0295	-3.17213
0.0296	-3.17374
0.0297	-3.17535
0.0298	-3.17695
0.0299	-3.17855
0.03	-3.18015
0.0301	-3.18175
0.0302	-3.18334
0.0303	-3.18493
0.0304	-3.18651
0.0305	-3.18805
0.0306	-3.18958
0.0307	-3.1911
0.0308	-3.19261
0.0309	-3.19413
0.031	-3.19564
0.0311	-3.19715
0.0312	-3.19866
0.0313	-3.20016
0.0314	-3.20166
0.0315	-3.20316
0.0316	-3.20465
0.0317	-3.20614
0.0318	-3.20763
0.0319	-3.20912
0.032	-3.2106
0.0321	-3.21208
0.0322	-3.21356
0.0323	-3.21503
0.0324	-3.2165
0.0325	-3.21797
0.0326	-3.21944
0.0327	-3.2209
0.0328	-3.22236
0.0329	-3.22382
0.033	-3.22527
0.0331	-3.22672
0.0332	-3.22817
0.0333	-3.22962
0.0334	-3.23106
0.0335	-3.2325
0.0336	-3.23393
0.0337	-3.23532
0.0338	-3.2367
0.0339	-3.23809
0.034	-3.23947
0.0341	-3.24084
0.0342	-3.24222
0.0343	-3.24359
0.0344	-3.24496
0.0345	-3.24633
0.0346	-3.2477
0.0347	-3.24906
0.0348	-3.25042
0.0349	-3.25178
0.035	-3.25313
0.0351	-3.25449
0.0352	-3.25584
0.0353	-3.25719
0.0354	-3.25853
0.0355	-3.25988
0.0356	-3.26122
0.0357	-3.26256
0.0358	-3.26389
0.0359	-3.26523
0.036	-3.26656
0.0361	-3.26789
0.0362	-3.26922
0.0363	-3.27054
0.0364	-3.27186
0.0365	-3.27318
0.0366	-3.2745
0.0367	-3.27582
0.0368	-3.27713
0.0369	-3.27844
0.037	-3.27972
0.0371	-3.28099
0.0372	-3.28225
0.0373	-3.28352
0.0374	-3.28477
0.0375	-3.28603
0.0376	-3.28729
0.0377	-3.28854
0.0378	-3.28979
0.0379	-3.29104
0.038	-3.29229
0.0381	-3.29353
0.0382	-3.29478
0.0383	-3.29602
0.0384	-3.29726
0.0385	-3.29849
0.0386	-3.29973
0.0387	-3.30096
0.0388	-3.30219
0.0389	-3.30342
0.039	-3.30465
0.0391	-3.30588
0.0392	-3.3071
0.0393	-3.30832
0.0394	-3.30954
0.0395	-3.31076
0.0396	-3.31197
0.0397	-3.31318
0.0398	-3.31439
0.0399	-3.3156
0.04	-3.31681
0.0401	-3.31802
0.0402	-3.31922
0.0403	-3.32042
0.0404	-3.32162
0.0405	-3.32281
0.0406	-3.32397
0.0407	-3.32513
0.0408	-3.32628
0.0409	-3.32744
0.041	-3.32859
0.0411	-3.32974
0.0412	-3.33089
0.0413	-3.33204
0.0414	-3.33319
0.0415	-3.33433
0.0416	-3.33548
0.0417	-3.33662
0.0418	-3.33776
0.0419	-3.33889
0.042	-3.34003
0.0421	-3.34116
0.0422	-3.3423
0.0423	-3.34343
0.0424	-3.34456
0.0425	-3.34568
0.0426	-3.34681
0.0427	-3.34793
0.0428	-3.34906
0.0429	-3.35018
0.043	-3.3513
0.0431	-3.35242
0.0432	-3.35353
0.0433	-3.35464
0.0434	-3.35576
0.0435	-3.35687
0.0436	-3.35798
0.0437	-3.35909
0.0438	-3.36019
0.0439	-3.3613
0.044	-3.3624
0.0441	-3.3635
0.0442	-3.36459
0.0443	-3.36566
0.0444	-3.36673
0.0445	-3.36779
0.0446	-3.36885
0.0447	-3.36991
0.0448	-3.37097
0.0449	-3.37203
0.045	-3.37309
0.0451	-3.37414
0.0452	-3.3752
0.0453	-3.37625
0.0454	-3.3773
0.0455	-3.37835
0.0456	-3.3794
0.0457	-3.38044
0.0458	-3.38149
0.0459	-3.38253
0.046	-3.38357
0.0461	-3.38461
0.0462	-3.38565
0.0463	-3.38669
0.0464	-3.38773
0.0465	-3.38876
0.0466	-3.3898
0.0467	-3.39083
0.0468	-3.39186
0.0469	-3.39289
0.047	-3.39391
0.0471	-3.39494
0.0472	-3.39597
0.0473	-3.39699
0.0474	-3.39801
0.0475	-3.39903
0.0476	-3.40005
0.0477	-3.40107
0.0478	-3.40208
0.0479	-3.4031
0.048	-3.40411
0.0481	-3.40513
0.0482	-3.40611
0.0483	-3.40709
0.0484	-3.40807
0.0485	-3.40905
0.0486	-3.41003
0.0487	-3.41101
0.0488	-3.41199
0.0489	-3.41296
0.049	-3.41393
0.0491	-3.41491
0.0492	-3.41588
0.0493	-3.41685
0.0494	-3.41782
0.0495	-3.41878
0.0496	-3.41975
0.0497	-3.42072
0.0498	-3.42168
0.0499	-3.42264
0.05	-3.4236
0.0501	-3.42456
0.0502	-3.42552
0.0503	-3.42648
0.0504	-3.42744
0.0505	-3.42839
0.0506	-3.42934
0.0507	-3.4303
0.0508	-3.43125
0.0509	-3.4322
0.051	-3.43315
0.0511	-3.4341
0.0512	-3.43504
0.0513	-3.43599
0.0514	-3.43693
0.0515	-3.43787
0.0516	-3.43882
0.0517	-3.43976
0.0518	-3.4407
0.0519	-3.44163
0.052	-3.44257
0.0521	-3.44351
0.0522	-3.44444
0.0523	-3.44535
0.0524	-3.44626
0.0525	-3.44717
0.0526	-3.44808
0.0527	-3.44898
0.0528	-3.44988
0.0529	-3.45079
0.053	-3.45169
0.0531	-3.45259
0.0532	-3.45349
0.0533	-3.45439
0.0534	-3.45529
0.0535	-3.45618
0.0536	-3.45708
0.0537	-3.45797
0.0538	-3.45887
0.0539	-3.45976
0.054	-3.46065
0.0541	-3.46154
0.0542	-3.46243
0.0543	-3.46332
0.0544	-3.46421
0.0545	-3.46509
0.0546	-3.46598
0.0547	-3.46686
0.0548	-3.46774
0.0549	-3.46863
0.055	-3.46951
0.0551	-3.47039
0.0552	-3.47126
0.0553	-3.47214
0.0554	-3.47302
0.0555	-3.47389
0.0556	-3.47477
0.0557	-3.47564
0.0558	-3.47651
0.0559	-3.47739
0.056	-3.47826
0.0561	-3.47913
0.0562	-3.47999
0.0563	-3.48086
0.0564	-3.48173
0.0565	-3.48259
0.0566	-3.48344
0.0567	-3.48428
0.0568	-3.48512
0.0569	-3.48596
0.057	-3.4868
0.0571	-3.48764
0.0572	-3.48848
0.0573	-3.48931
0.0574	-3.49015
0.0575	-3.49098
0.0576	-3.49182
0.0577	-3.49265
0.0578	-3.49348
0.0579	-3.49431
0.058	-3.49515
0.0581	-3.49597
0.0582	-3.4968
0.0583	-3.49763
0.0584	-3.49846
0.0585	-3.49928
0.0586	-3.50011
0.0587	-3.50093
0.0588	-3.50175
0.0589	-3.50258
0.059	-3.5034
0.0591	-3.50422
0.0592	-3.50504
0.0593	-3.50585
0.0594	-3.50667
0.0595	-3.50749
0.0596	-3.5083
0.0597	-3.50912
0.0598	-3.50993
0.0599	-3.51074
0.06	-3.51156
0.0601	-3.51237
0.0602	-3.51318
0.0603	-3.51399
0.0604	-3.5148
0.0605	-3.5156
0.0606	-3.51641
0.0607	-3.51722
0.0608	-3.51802
0.0609	-3.51882
0.061	-3.51963
0.0611	-3.52041
0.0612	-3.5212
0.0613	-3.52198
0.0614	-3.52276
0.0615	-3.52354
0.0616	-3.52432
0.0617	-3.5251
0.0618	-3.52588
0.0619	-3.52665
0.062	-3.52743
0.0621	-3.5282
0.0622	-3.52898
0.0623	-3.52975
0.0624	-3.53053
0.0625	-3.5313
0.0626	-3.53207
0.0627	-3.53284
0.0628	-3.53361
0.0629	-3.53438
0.063	-3.53515
0.0631	-3.53591
0.0632	-3.53668
0.0633	-3.53745
0.0634	-3.53821
0.0635	-3.53898
0.0636	-3.53974
0.0637	-3.5405
0.0638	-3.54126
0.0639	-3.54203
0.064	-3.54279
0.0641	-3.54355
0.0642	-3.5443
0.0643	-3.54506
0.0644	-3.54582
0.0645	-3.54658
0.0646	-3.54733
0.0647	-3.54809
0.0648	-3.54884
0.0649	-3.54959
0.065	-3.55035
0.0651	-3.5511
0.0652	-3.55185
0.0653	-3.5526
0.0654	-3.55335
0.0655	-3.5541
0.0656	-3.55485
0.0657	-3.55559
0.0658	-3.55633
0.0659	-3.55705
0.066	-3.55778
0.0661	-3.55851
0.0662	-3.55924
0.0663	-3.55996
0.0664	-3.56069
0.0665	-3.56141
0.0666	-3.56214
0.0667	-3.56286
0.0668	-3.56358
0.0669	-3.56431
0.067	-3.56503
0.0671	-3.56575
0.0672	-3.56647
0.0673	-3.56719
0.0674	-3.56791
0.0675	-3.56862
0.0676	-3.56934
0.0677	-3.57006
0.0678	-3.57077
0.0679	-3.57149
0.068	-3.5722
0.0681	-3.57292
0.0682	-3.57363
0.0683	-3.57434
0.0684	-3.57505
0.0685	-3.57576
0.0686	-3.57647
0.0687	-3.57718
0.0688	-3.57789
0.0689	-3.5786
0.069	-3.57931
0.0691	-3.58002
0.0692	-3.58072
0.0693	-3.58143
0.0694	-3.58213
0.0695	-3.58284
0.0696	-3.58354
0.0697	-3.58424
0.0698	-3.58494
0.0699	-3.58565
0.07	-3.58635
0.0701	-3.58705
0.0702	-3.58775
0.0703	-3.58844
0.0704	-3.58914
0.0705	-3.58984
0.0706	-3.59054
0.0707	-3.59122
0.0708	-3.5919
0.0709	-3.59258
0.071	-3.59326
0.0711	-3.59394
0.0712	-3.59462
0.0713	-3.5953
0.0714	-3.59597
0.0715	-3.59665
0.0716	-3.59733
0.0717	-3.598
0.0718	-3.59868
0.0719	-3.59935
0.072	-3.60002
0.0721	-3.60069
0.0722	-3.60137
0.0723	-3.60204
0.0724	-3.60271
0.0725	-3.60338
0.0726	-3.60405
0.0727	-3.60472
0.0728	-3.60539
0.0729	-3.60605
0.073	-3.60672
0.0731	-3.60739
0.0732	-3.60805
0.0733	-3.60872
0.0734	-3.60938
0.0735	-3.61005
0.0736	-3.61071
0.0737	-3.61137
0.0738	-3.61204
0.0739	-3.6127
0.074	-3.61336
0.0741	-3.61402
0.0742	-3.61468
0.0743	-3.61534
0.0744	-3.616
0.0745	-3.61666
0.0746	-3.61731
0.0747	-3.61797
0.0748	-3.61863
0.0749	-3.61928
0.075	-3.61994
0.0751	-3.62059
0.0752	-3.62125
0.0753	-3.6219
0.0754	-3.62255
0.0755	-3.6232
0.0756	-3.62386
0.0757	-3.62451
0.0758	-3.62515
0.0759	-3.62579
0.076	-3.62642
0.0761	-3.62706
0.0762	-3.62769
0.0763	-3.62833
0.0764	-3.62896
0.0765	-3.6296
0.0766	-3.63023
0.0767	-3.63086
0.0768	-3.63149
0.0769	-3.63212
0.077	-3.63275
0.0771	-3.63339
0.0772	-3.63401
0.0773	-3.63464
0.0774	-3.63527
0.0775	-3.6359
0.0776	-3.63653
0.0777	-3.63715
0.0778	-3.63778
0.0779	-3.63841
0.078	-3.63903
0.0781	-3.63966
0.0782	-3.64028
0.0783	-3.6409
0.0784	-3.64153
0.0785	-3.64215
0.0786	-3.64277
0.0787	-3.64339
0.0788	-3.64402
0.0789	-3.64464
0.079	-3.64526
0.0791	-3.64588
0.0792	-3.64649
0.0793	-3.64711
0.0794	-3.64773
0.0795	-3.64835
0.0796	-3.64897
0.0797	-3.64958
0.0798	-3.6502
0.0799	-3.65081
0.08	-3.65143
0.0801	-3.65204
0.0802	-3.65266
0.0803	-3.65327
0.0804	-3.65388
0.0805	-3.65449
