x 	 analitycal w t = 0.5	PCMN_THOMAS w t = 0.5	analitycal w t = 1	PCMN_THOMAS w t = 1	analitycal w t = 1.99999	PCMN_THOMAS w t = 1.99999
1.445	0.545799	0.545802	0.47888	0.478881	0.42981	0.429811
1.45	0.549855	0.549858	0.482528	0.482529	0.433118	0.433119
1.455	0.553877	0.55388	0.486148	0.486149	0.436402	0.436403
1.46	0.557866	0.557869	0.489742	0.489743	0.439664	0.439664
1.465	0.561822	0.561825	0.493308	0.493309	0.442902	0.442902
1.47	0.565745	0.565748	0.496849	0.49685	0.446117	0.446117
1.475	0.569636	0.569639	0.500363	0.500364	0.44931	0.44931
1.48	0.573495	0.573498	0.503851	0.503853	0.45248	0.45248
1.485	0.577322	0.577325	0.507314	0.507315	0.455628	0.455629
1.49	0.581118	0.581121	0.510751	0.510753	0.458754	0.458755
1.495	0.584883	0.584886	0.514164	0.514165	0.461859	0.461859
1.5	0.588617	0.58862	0.517551	0.517552	0.464942	0.464943
1.505	0.59232	0.592323	0.520913	0.520915	0.468004	0.468004
1.51	0.595992	0.595996	0.524252	0.524253	0.471045	0.471045
1.515	0.599635	0.599638	0.527565	0.527567	0.474065	0.474065
1.52	0.603248	0.603251	0.530855	0.530856	0.477064	0.477064
1.525	0.606831	0.606834	0.534121	0.534122	0.480042	0.480043
1.53	0.610384	0.610388	0.537363	0.537365	0.483001	0.483001
1.535	0.613909	0.613912	0.540582	0.540584	0.485939	0.485939
1.54	0.617405	0.617408	0.543778	0.543779	0.488857	0.488858
1.545	0.620872	0.620875	0.546951	0.546952	0.491756	0.491756
1.55	0.62431	0.624313	0.550101	0.550102	0.494635	0.494636
1.555	0.62772	0.627724	0.553228	0.55323	0.497495	0.497495
1.56	0.631103	0.631106	0.556333	0.556335	0.500335	0.500336
1.565	0.634458	0.634461	0.559416	0.559418	0.503157	0.503157
1.57	0.637785	0.637788	0.562477	0.562478	0.50596	0.50596
1.575	0.641085	0.641088	0.565516	0.565518	0.508744	0.508744
1.58	0.644358	0.644361	0.568534	0.568535	0.511509	0.51151
1.585	0.647604	0.647607	0.57153	0.571531	0.514256	0.514257
1.59	0.650823	0.650827	0.574505	0.574506	0.516985	0.516986
1.595	0.654017	0.65402	0.577459	0.57746	0.519696	0.519697
1.6	0.657184	0.657187	0.580392	0.580393	0.52239	0.52239
1.605	0.660325	0.660328	0.583304	0.583305	0.525065	0.525066
1.61	0.66344	0.663443	0.586196	0.586197	0.527723	0.527724
1.615	0.66653	0.666533	0.589067	0.589069	0.530364	0.530365
1.62	0.669594	0.669597	0.591919	0.59192	0.532988	0.532988
1.625	0.672633	0.672637	0.59475	0.594751	0.535594	0.535594
1.63	0.675647	0.675651	0.597561	0.597563	0.538183	0.538184
1.635	0.678637	0.67864	0.600353	0.600355	0.540756	0.540757
1.64	0.681602	0.681605	0.603126	0.603127	0.543312	0.543313
1.645	0.684543	0.684546	0.605879	0.60588	0.545852	0.545853
1.65	0.687459	0.687463	0.608612	0.608614	0.548376	0.548376
1.655	0.690352	0.690355	0.611327	0.611329	0.550883	0.550883
