-1	-1.30043	-4.40144	-8.39483
-3.00432	-8.57531	-8.5095	-11.0575
-3.3032	-8.8625	-8.82941	-11.6594
-3.47857	-9.03187	-9.00977	-12.0125
-3.60314	-9.15344	-9.13685	-12.2661
-3.69984	-9.24708	-9.23381	-12.4258
-3.77887	-9.32615	-9.31509	-12.6226
-3.84572	-9.39214	-9.38265	-12.7334
-3.90363	-9.4494	-9.4411	-12.8044
-3.95472	-9.4993	-9.49192	-13.0681
-4.00043	-9.54468	-9.53803	-13.0366
-4.04179	-9.58632	-9.58028	-13.1046
-4.07954	-9.62329	-9.61775	-13.8718
-4.11428	-9.65783	-9.65272	-12.9669
-4.14644	-9.68983	-9.68508	-13.0504
-4.17638	-9.72003	-9.71561	-13.6623
-4.20439	-9.7479	-9.74374	-13.2947
-4.2307	-9.77371	-9.7698	-14.7241
-4.25551	-9.79877	-9.79507	-13.9815
-4.27898	-9.82213	-9.81863	-13.2214
-4.30125	-9.8443	-9.84098	-14.4775
-4.32243	-9.86509	-9.86193	-13.8827
-4.34262	-9.88523	-9.8822	-13.1039
-4.36192	-9.90473	-9.90184	-13.8085
-4.38039	-9.92289	-9.92012	-14.6758
-4.39811	-9.94054	-9.9379	-13.8054
-4.41514	-9.95753	-9.95497	-13.0126
-4.43152	-9.97388	-9.97141	-14.1912
-4.44731	-9.98985	-9.98748	-13.0308
-4.46255	-10.005	-10.0027	-13.3242
-4.47727	-10.0197	-10.0175	-13.3033
-4.4915	-10.0339	-10.0318	-12.9764
-4.50529	-10.0474	-10.0454	-13.3365
-4.51865	-10.061	-10.059	-14.1912
-4.53161	-10.0737	-10.0718	-13.1934
-4.54419	-10.0865	-10.0846	-13.0687
-4.55642	-10.0987	-10.0968	-14.3525
-4.56832	-10.1105	-10.1087	-13.6514
-4.5799	-10.1219	-10.1202	-13.4387
-4.59118	-10.1333	-10.1316	-13.0472
-4.60217	-10.1443	-10.1426	-13.1208
-4.61289	-10.1549	-10.1533	-13.4206
-4.62335	-10.1655	-10.1639	-13.1246
-4.63357	-10.1756	-10.1741	-13.183
-4.64355	-10.1856	-10.1841	-13.2295
-4.65331	-10.1952	-10.1937	-13.3646
-4.66285	-10.2049	-10.2034	-13.0937
-4.67219	-10.2141	-10.2126	-12.9503
-4.68133	-10.2232	-10.2218	-13.2556
-4.69028	-10.2322	-10.2309	-12.6713
-4.69906	-10.241	-10.2397	-13.7559
-4.70766	-10.2495	-10.2482	-12.8172
-4.71609	-10.258	-10.2568	-14.0151
